folder name,file name,lifelines,messages,nesting_depth,cyclomatic_complexity,cohesion,coupling,completeness,clarity
US GPT4,091_racdam_7.txt,2,12,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,042_alfred_113.txt,3,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,061_datahub_53.txt,3,4,0,6,High,High,Incomplete (missing responses),Medium/Low
US GPT4,008_Library_Management_System_220.txt,1,5,0,7,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,072_frictionless_32.txt,4,5,0,7,High,High,Incomplete (missing responses),Medium/Low
US GPT4,086_openspending_49.txt,2,7,0,9,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,067_federalspending_15.txt,0,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,089_planningpoker_7.txt,0,16,0,18,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,053_cask_33.txt,0,7,0,9,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,039_Restaurant_Management_System_73.txt,0,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,066_duraspace_72.txt,3,10,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,027_Restaurant_Management_System_227.txt,0,5,0,7,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,098_unibath_1.txt,0,21,0,23,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,022_Restaurant_Management_System_178.txt,3,4,0,6,High,High,Incomplete (missing responses),Medium/Low
US GPT4,030_Restaurant_Management_System_290.txt,2,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,081_openspending_12.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,034_Restaurant_Management_System_317.txt,3,4,0,6,High,High,Incomplete (missing responses),Medium/Low
US GPT4,049_badcamp_6.txt,3,14,0,17,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,019_Library_Management_System_94.txt,3,10,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,059_culrepo_70.txt,3,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,031_Restaurant_Management_System_300.txt,1,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,012_Library_Management_System_298.txt,0,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,047_archivesspace_47.txt,2,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,060_culrepo_91.txt,3,10,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,071_frictionless_2.txt,3,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,044_alfred_58.txt,4,5,0,7,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,036_Restaurant_Management_System_323.txt,3,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,065_duraspace_68.txt,3,4,0,6,High,High,Incomplete (missing responses),Medium/Low
US GPT4,069_federalspending_74.txt,0,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,026_Restaurant_Management_System_222.txt,2,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,068_federalspending_68.txt,5,8,0,11,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,054_cask_42.txt,4,11,0,13,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,064_duraspace_64.txt,0,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,005_Library_Management_System_165.txt,0,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,080_neurohub_9.txt,0,14,0,16,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
